experiment_file,llm_model,llm_temperature,llm_max_tokens,embedding_model,chunking_type,chunk_size,chunk_overlap,top_k,similarity_threshold,grouping,max_context_length,avg_precision,avg_recall,avg_f1,avg_faithfulness,avg_answer_relevance,avg_context_relevance,avg_dsgvo_score,avg_query_time,avg_response_length,chunks_indexed,truncation_rate,avg_context_utilization,avg_chunks_used,total_chunks_wasted,qa_pairs_evaluated,total_evaluation_time,random_seed
000_baseline_semantic_k7_s00_st-mini_evaluation_summary_20250824_002816.json,gpt-4o-mini,0.1,1000,all-MiniLM-L6-v2,semantic,variable,,7,0.0,True,3500,0.19125861555570955,0.1279514048089068,0.14174316422920558,0.49816011948800715,0.12764170168206052,0.34997619047619044,0.35736780834385984,3.365959484577179,883.96,171,0.0,0.40264857142857147,5.0,0,100,337.4666268825531,42
000_baseline_semantic_k5_s00_st-mini_evaluation_summary_20250824_001708.json,gpt-4o-mini,0.1,1000,all-MiniLM-L6-v2,semantic,variable,,5,0.0,True,3500,0.19248502830565936,0.12830047422205418,0.142258303100971,0.4971221759096604,0.12857434135067677,0.34997619047619044,0.3571286284552713,3.148075580596924,881.64,171,0.0,0.40264857142857147,5.0,0,100,315.7329308986664,42
000_baseline_semantic_k7_s10_st-mini_evaluation_summary_20250824_003336.json,gpt-4o-mini,0.1,1000,all-MiniLM-L6-v2,semantic,variable,,7,0.1,True,3500,0.19099865568642482,0.12722362390556963,0.14125432592968826,0.4886059079585884,0.13391514487649134,0.34997619047619044,0.3544727355374797,3.156308150291443,871.95,171,0.0,0.40264857142857147,5.0,0,100,316.2290539741516,42
000_baseline_semantic_k5_s10_st-mini_evaluation_summary_20250824_002233.json,gpt-4o-mini,0.1,1000,all-MiniLM-L6-v2,semantic,variable,,5,0.1,True,3500,0.19111408289593856,0.1276650344099903,0.14128038572145332,0.4907339489136283,0.1296264134279567,0.34997619047619044,0.35425013658043925,3.2010338258743287,883.22,171,0.0,0.40264857142857147,5.0,0,100,321.0320281982422,42
000_baseline_semantic_k3_s10_st-mini_evaluation_summary_20250824_001147.json,gpt-4o-mini,0.1,1000,all-MiniLM-L6-v2,semantic,variable,,3,0.1,True,3500,0.18921312250015077,0.12690930061633687,0.14030066256333346,0.49221563943167934,0.12514251930501072,0.34997619047619044,0.353645813602581,3.2299623847007752,893.43,171,0.0,0.40264857142857147,5.0,0,100,323.93827176094055,42
000_baseline_semantic_k3_s00_st-mini_evaluation_summary_20250824_000618.json,gpt-4o-mini,0.1,1000,all-MiniLM-L6-v2,semantic,variable,,3,0.0,True,3500,0.1869642477341767,0.12429425496272006,0.1380950044853443,0.4865439010876061,0.12577281004462074,0.34997619047619044,0.35099903165242735,3.471625816822052,900.23,171,0.0,0.40264857142857147,5.0,0,100,348.06551814079285,42
000_baseline_fixedsize_2000_k5_s10_st-mini_evaluation_summary_20250823_200431.json,gpt-4o-mini,0.1,1000,all-MiniLM-L6-v2,fixedsize,2000,300.0,5,0.1,True,3500,0.20437255513018485,0.14526630695152215,0.15770013822749068,0.4783189405049898,0.12259031167891149,0.31233730158730155,0.3384040240736287,29.31778069257736,954.72,179,0.0,0.3415828571428572,5.0,0,100,2932.8293418884277,42
000_baseline_recursive_2000_k5_s10_st-mini_evaluation_summary_20250823_234908.json,gpt-4o-mini,0.1,1000,all-MiniLM-L6-v2,recursive,2000,300.0,5,0.1,True,3500,0.20698218519527325,0.14881622491680446,0.16081411272787027,0.476501770633863,0.12025479801342469,0.3175873015873016,0.33784478503841925,3.641135783195496,982.68,173,0.0,0.32596,5.0,0,100,364.89235639572144,42
000_baseline_fixedsize_2000_k3_s10_st-mini_evaluation_summary_20250823_190925.json,gpt-4o-mini,0.1,1000,all-MiniLM-L6-v2,fixedsize,2000,300.0,3,0.1,True,3500,0.20601808220317083,0.14650040084977622,0.15953772667519378,0.4759716510849774,0.12271094036312721,0.31233730158730155,0.3372665679688872,7.413680288791657,962.5,179,0.0,0.3415828571428572,5.0,0,100,742.0137474536896,42
000_baseline_recursive_2000_k7_s10_st-mini_evaluation_summary_20250824_000025.json,gpt-4o-mini,0.1,1000,all-MiniLM-L6-v2,recursive,2000,300.0,7,0.1,True,3500,0.20557763260676268,0.14690214683174116,0.15896376721454977,0.4765161235872148,0.11813374685619465,0.3175873015873016,0.3372156461679261,3.3597290229797365,967.42,173,0.0,0.32596,5.0,0,100,336.76264548301697,42
